Date,Date,spread_10_2,spread_10_3,Adj Close,Delta,Extremes,Adj Fitted,Residuals
2023-05-05,2023-05-05,-0.48,-1.8199999999999998,129.740021,1.4001701184141888,Non-Extreme,127.53622933552695,2.2037916644730586
2023-05-08,2023-05-08,-0.48,-1.7899999999999996,130.007263,0.2059827013593452,Non-Extreme,127.35953162218134,2.6477313778186584
2023-05-09,2023-05-09,-0.48,-1.7600000000000002,128.106873,-1.461756794310782,Non-Extreme,127.18283390883575,0.9240390911642606
2023-05-10,2023-05-10,-0.46999999999999975,-1.81,127.641701,-0.3631124459653383,Non-Extreme,127.47733009774507,0.16437090225493023
2023-05-11,2023-05-11,-0.5,-1.81,128.512695,0.6823741717450242,Non-Extreme,127.47733009774507,1.0353649022549405
2023-05-12,2023-05-12,-0.52,-1.79,128.56218,0.0385059234809481,Non-Extreme,127.35953162218135,1.2026483778186616
2023-05-15,2023-05-15,-0.4900000000000002,-1.71,129.58165,0.792978152672881,Non-Extreme,126.88833771992641,2.6933122800735845
2023-05-16,2023-05-16,-0.5199999999999996,-1.6900000000000004,126.988441,-2.001216221586932,Non-Extreme,126.77053924436268,0.21790175563731395
2023-05-17,2023-05-17,-0.5500000000000003,-1.69,127.305161,0.2494085268752954,Non-Extreme,126.77053924436268,0.5346217556373176
2023-05-18,2023-05-18,-0.5900000000000003,-1.6599999999999997,126.592529,-0.5597824898866428,Non-Extreme,126.59384153101708,-0.0013125310170778448
2023-05-19,2023-05-19,-0.5800000000000001,-1.5899999999999999,125.889786,-0.5551220167186944,Non-Extreme,126.18154686654402,-0.2917608665440241
2023-05-23,2023-05-23,-0.5599999999999996,-1.6399999999999997,124.593178,-1.029954884505091,Non-Extreme,126.47604305545336,-1.8828650554533652
2023-05-24,2023-05-24,-0.5799999999999996,-1.6400000000000001,122.484955,-1.6920854205998304,Non-Extreme,126.47604305545336,-3.9910880554533605
2023-05-25,2023-05-25,-0.6699999999999999,-1.5499999999999998,120.238159,-1.8343444711230072,Non-Extreme,125.94594991541658,-5.707790915416581
2023-05-26,2023-05-26,-0.7400000000000002,-1.54,121.8218,1.3170868659091828,Non-Extreme,125.8870506776347,-4.065250677634708
2023-05-30,2023-05-30,-0.77,-1.8599999999999999,121.851494,-0.3077160767148459,Non-Extreme,127.77182628665442,-5.920332286654414
2023-05-31,2023-05-31,-0.7600000000000002,-1.8799999999999994,120.188667,-1.3646340684177471,Non-Extreme,127.88962476221815,-7.700957762218152
2023-06-01,2023-06-01,-0.7200000000000002,-1.8900000000000001,120.347031,0.1317628391701906,Non-Extreme,127.94852400000002,-7.601493000000019
2023-06-02,2023-06-02,-0.81,-1.81,122.791779,2.0314152993105448,Non-Extreme,127.4773300977451,-4.6855510977450905
2023-06-05,2023-06-05,-0.77,-1.77,121.663437,-0.9189067942406824,Non-Extreme,127.24173314661763,-5.578296146617632
2023-06-06,2023-06-06,-0.8099999999999996,-1.7400000000000002,122.445358,0.6426918549078939,Non-Extreme,127.06503543327204,-4.619677433272045
2023-06-07,2023-06-07,-0.7699999999999996,-1.63,121.831696,-0.5011721228337664,Non-Extreme,126.41714381767152,-4.585447817671522
2023-06-08,2023-06-08,-0.7899999999999996,-1.65,122.039558,0.1706140576094465,Non-Extreme,126.53494229323525,-4.495384293235247
2023-06-09,2023-06-09,-0.8399999999999999,-1.62,122.62352,0.4785022246639074,Non-Extreme,126.35824457988966,-3.734724579889658
2023-06-12,2023-06-12,-0.8199999999999998,-1.6700000000000004,122.702705,0.0645757029320275,Non-Extreme,126.65274076879896,-3.950035768798969
2023-06-13,2023-06-13,-0.8300000000000001,-1.5200000000000005,123.544014,0.6856482911277382,Non-Extreme,125.76925220207099,-2.225238202070983
2023-06-14,2023-06-14,-0.9100000000000001,-1.5300000000000002,123.900337,0.2884178589178663,Non-Extreme,125.82815143985286,-1.9278144398528667
2023-06-15,2023-06-15,-0.8999999999999999,-1.6099999999999999,124.543694,0.5192536320542929,Non-Extreme,126.29934534210777,-1.7556513421077682
2023-06-16,2023-06-16,-0.9300000000000002,-1.5699999999999998,124.593178,0.0397322404777816,Non-Extreme,126.06374839098031,-1.4705703909803134
2023-06-20,2023-06-20,-0.9399999999999995,-1.6499999999999995,123.484627,-0.4786196182866186,Non-Extreme,126.53494229323525,-3.0503152932352435
2023-06-21,2023-06-21,-0.9599999999999995,-1.6800000000000002,123.31636,-0.1362655450220537,Non-Extreme,126.71164000658082,-3.395280006580819
2023-06-22,2023-06-22,-0.9699999999999998,-1.6000000000000005,122.346382,-0.7865768986369672,Non-Extreme,126.24044610432591,-3.8940641043259063
2023-06-23,2023-06-23,-0.9699999999999998,-1.67,121.069572,-1.0436025807448983,Non-Extreme,126.65274076879898,-5.583168768798984
2023-06-26,2023-06-26,-0.9300000000000002,-1.7799999999999998,122.356285,1.062788096748212,Non-Extreme,127.30063238439949,-4.944347384399492
2023-06-27,2023-06-27,-0.9700000000000002,-1.6700000000000004,123.949829,1.302380176057155,Non-Extreme,126.65274076879896,-2.7029117687989697
2023-06-28,2023-06-28,-1.0,-1.7300000000000004,123.64299,-0.2475509667705927,Non-Extreme,127.00613619549014,-3.3631461954901454
2023-06-29,2023-06-29,-1.02,-1.6099999999999999,124.226959,0.4723025543138323,Non-Extreme,126.29934534210776,-2.0723863421077624
2023-06-30,2023-06-30,-1.06,-1.6199999999999997,125.226631,0.8047142166621047,Non-Extreme,126.3582445798896,-1.1316135798896028
2023-07-05,2023-07-05,-0.9900000000000002,-1.4900000000000002,125.780914,0.284093411952995,Non-Extreme,125.59255448872536,0.18835951127464057
2023-07-06,2023-07-06,-0.9400000000000004,-1.4100000000000001,124.226959,-1.2354457847237477,Non-Extreme,125.12136058647043,-0.8944015864704369
2023-07-07,2023-07-07,-0.8800000000000008,-1.4000000000000004,124.236855,0.0079660647573381,Non-Extreme,125.06246134868856,-0.8256063486885523
2023-07-10,2023-07-10,-0.8399999999999999,-1.4700000000000006,123.98941,-0.1991719767857927,Non-Extreme,125.47475601316162,-1.4853460131616174
2023-07-11,2023-07-11,-0.8899999999999997,-1.5,124.553581,0.4550154726923755,Non-Extreme,125.6514537265072,-1.0978727265072052
2023-07-12,2023-07-12,-0.8599999999999999,-1.6099999999999999,124.791138,0.1907267523685325,Non-Extreme,126.29934534210771,-1.5082073421077098
2023-07-13,2023-07-13,-0.8300000000000001,-1.71,126.117432,1.0628110467267236,Non-Extreme,126.88833771992637,-0.7709057199263754
2023-07-14,2023-07-14,-0.9100000000000001,-1.6600000000000001,126.810272,0.5493610114103845,Non-Extreme,126.59384153101705,0.21643046898294926
2023-07-17,2023-07-17,-0.9300000000000002,-1.6800000000000002,127.750572,0.7415014455611354,Non-Extreme,126.71164000658075,1.0389319934192542
2023-07-18,2023-07-18,-0.9400000000000004,-1.6900000000000004,128.334534,0.4571110648334204,Non-Extreme,126.77053924436262,1.563994755637367
2023-07-19,2023-07-19,-0.9900000000000002,-1.7400000000000002,128.839325,0.3933399563363136,Non-Extreme,127.06503543327196,1.7742895667280436
2023-07-20,2023-07-20,-0.9499999999999997,-1.6400000000000001,129.096664,0.1997363770727623,Non-Extreme,126.47604305545329,2.6206209445467152
2023-07-21,2023-07-21,-0.9800000000000004,-1.6600000000000001,129.690536,0.4600211822669597,Non-Extreme,126.59384153101703,3.0966944689829745
2023-07-24,2023-07-24,-0.9499999999999997,-1.65,130.710007,0.7860797182610006,Non-Extreme,126.53494229323516,4.175064706764829
2023-07-25,2023-07-25,-0.9399999999999995,-1.5999999999999996,130.009995,-0.5355458362112908,Non-Extreme,126.24044610432583,3.769548895674177
2023-07-26,2023-07-26,-0.9600000000000004,-1.65,130.169998,0.1230697685973982,Non-Extreme,126.53494229323516,3.635055706764831
2023-07-27,2023-07-27,-0.9000000000000004,-1.5,130.160004,-0.0076776524188054,Non-Extreme,125.65145372650717,4.508550273492816
2023-07-28,2023-07-28,-0.9100000000000001,-1.5599999999999996,130.309998,0.1152381648666981,Non-Extreme,126.00484915319835,4.305148846801657
2023-07-31,2023-07-31,-0.9099999999999997,-1.5799999999999996,130.729996,0.3223068117919797,Non-Extreme,126.1226476287621,4.607348371237904
2023-08-01,2023-08-01,-0.8700000000000001,-1.4900000000000002,129.669998,-0.8108299796781201,Non-Extreme,125.59255448872531,4.07744351127468
2023-08-02,2023-08-02,-0.7999999999999998,-1.4500000000000002,128.490005,-0.9099969292819732,Non-Extreme,125.35695753759785,3.1330474624021463
2023-08-03,2023-08-03,-0.7000000000000002,-1.3399999999999999,127.699997,-0.6148400414491386,Non-Extreme,124.70906592199732,2.9909310780026743
2023-08-04,2023-08-04,-0.7300000000000004,-1.4900000000000002,128.25,0.4306993053414119,Non-Extreme,125.5925544887253,2.6574455112747017
2023-08-08,2023-08-08,-0.7200000000000006,-1.5500000000000007,127.480003,-0.6003875243664745,Non-Extreme,125.94594991541648,1.534053084583519
2023-08-09,2023-08-09,-0.79,-1.5499999999999998,127.480003,0.0,Non-Extreme,125.94594991541648,1.534053084583519
2023-08-10,2023-08-10,-0.7300000000000004,-1.4500000000000002,127.699997,0.1725713796853298,Non-Extreme,125.35695753759782,2.3430394624021744
2023-08-11,2023-08-11,-0.7299999999999995,-1.38,127.57,-0.1017987494549455,Non-Extreme,124.94466287312477,2.6253371268752232
2023-08-14,2023-08-14,-0.7699999999999996,-1.3699999999999992,126.870003,-0.5487159990593371,Non-Extreme,124.88576363534291,1.9842393646570855
2023-08-15,2023-08-15,-0.71,-1.3499999999999996,124.040001,-2.230631302184168,Non-Extreme,124.76796515977918,-0.7279641597791766
2023-08-16,2023-08-16,-0.6899999999999995,-1.2799999999999994,123.419998,-0.499841176234751,Non-Extreme,124.35567049530611,-0.9356724953061075
2023-08-17,2023-08-17,-0.6400000000000006,-1.2599999999999998,122.489998,-0.7535245625267364,Non-Extreme,124.23787201974238,-1.7478740197423832
2023-08-18,2023-08-18,-0.6600000000000001,-1.29,121.470001,-0.8327186028691123,Non-Extreme,124.41456973308799,-2.9445687330879906
2023-08-21,2023-08-21,-0.6299999999999999,-1.2300000000000004,121.239998,-0.1893496320955792,Non-Extreme,124.0611743063968,-2.8211763063967936
2023-08-22,2023-08-22,-0.6799999999999997,-1.2300000000000004,119.709999,-1.2619589452649147,Non-Extreme,124.0611743063968,-4.351175306396797
2023-08-23,2023-08-23,-0.7599999999999998,-1.38,120.260002,0.4594461653950926,Non-Extreme,124.94466287312476,-4.684660873124756
2023-08-24,2023-08-24,-0.75,-1.3499999999999996,122.620003,1.9624155668981251,Non-Extreme,124.76796515977917,-2.147962159779169
2023-08-25,2023-08-25,-0.7800000000000002,-1.3600000000000003,121.019997,-1.3048490954611975,Non-Extreme,124.82686439756104,-3.806867397561035
2023-08-28,2023-08-28,-0.7800000000000002,-1.38,122.019997,0.8263097213595204,Non-Extreme,124.94466287312476,-2.924665873124752
2023-08-29,2023-08-29,-0.75,-1.4399999999999995,122.660004,0.524509929302815,Non-Extreme,125.29805829981595,-2.6380542998159484
2023-08-30,2023-08-30,-0.7800000000000002,-1.4399999999999995,122.980003,0.2608829199125052,Non-Extreme,125.29805829981595,-2.3180552998159527
2023-08-31,2023-08-31,-0.7599999999999998,-1.4699999999999998,121.739998,-1.0082980726549473,Non-Extreme,125.47475601316155,-3.734758013161553
2023-09-01,2023-09-01,-0.6900000000000004,-1.3500000000000005,122.849998,0.911779216556254,Non-Extreme,124.76796515977917,-1.9179671597791668
2023-09-05,2023-09-05,-0.6700000000000008,-1.2800000000000002,122.019997,-0.6756215006206152,Non-Extreme,124.3556704953061,-2.3356734953060965
2023-09-06,2023-09-06,-0.71,-1.25,121.239998,-0.6392386651181475,Non-Extreme,124.17897278196051,-2.9389747819605105
2023-09-07,2023-09-07,-0.6700000000000008,-1.2600000000000007,120.300003,-0.7753175647528434,Non-Extreme,124.23787201974238,-3.9378690197423794
2023-09-08,2023-09-08,-0.7200000000000006,-1.29,120.099998,-0.1662551911989598,Non-Extreme,124.41456973308799,-4.314571733087988
2023-09-11,2023-09-11,-0.6799999999999997,-1.2599999999999998,120.400002,0.2497951748508782,Non-Extreme,124.23787201974238,-3.8378700197423825
2023-09-12,2023-09-12,-0.7100000000000009,-1.29,121.220001,0.6810622810454735,Non-Extreme,124.41456973308799,-3.1945687330879906
2023-09-13,2023-09-13,-0.71,-1.2999999999999998,121.959999,0.6104586651504812,Non-Extreme,124.47346897086983,-2.513469970869835
2023-09-14,2023-09-14,-0.71,-1.2599999999999998,123.459999,1.229911456460409,Non-Extreme,124.23787201974237,-0.7778730197423727
2023-09-15,2023-09-15,-0.6899999999999995,-1.2299999999999995,124.120003,0.5345893450072041,Non-Extreme,124.06117430639678,0.05882869360321763
2023-09-18,2023-09-18,-0.7299999999999995,-1.2299999999999995,123.349998,-0.6203713997654331,Non-Extreme,124.06117430639678,-0.71117630639678
2023-09-19,2023-09-19,-0.71,-1.17,122.360001,-0.8025918249305545,Non-Extreme,123.70777887970559,-1.347777879705589
2023-09-20,2023-09-20,-0.7700000000000005,-1.21,122.769997,0.335073550710421,Non-Extreme,123.94337583083306,-1.1733788308330588
2023-09-21,2023-09-21,-0.6299999999999999,-1.08,120.839996,-1.5720461408824538,Non-Extreme,123.1776857396688,-2.3376897396688037
2023-09-22,2023-09-22,-0.6599999999999993,-1.1199999999999992,120.190002,-0.5378964097284415,Non-Extreme,123.41328269079627,-3.2232806907962583
2023-09-25,2023-09-25,-0.54,-1.0300000000000002,120.419998,0.1913603429343481,Non-Extreme,122.88318955075948,-2.4631915507594755
2023-09-26,2023-09-26,-0.4800000000000004,-1.0200000000000005,118.860001,-1.2954633996921423,Non-Extreme,122.82429031297761,-3.9642893129776127
2023-09-27,2023-09-27,-0.4899999999999993,-0.9699999999999998,117.300003,-1.3124667565836494,Non-Extreme,122.52979412406829,-5.229791124068285
2023-09-28,2023-09-28,-0.4500000000000002,-0.9699999999999998,118.760002,1.2446708974082432,Non-Extreme,122.52979412406829,-3.769792124068289
2023-09-29,2023-09-29,-0.4400000000000004,-0.96,118.699997,-0.0505262706209821,Non-Extreme,122.47089488628642,-3.77089788628642
2023-10-02,2023-10-02,-0.4299999999999997,-0.9299999999999997,115.949997,-2.316765012218156,Non-Extreme,122.29419717294083,-6.34420017294083
2023-10-03,2023-10-03,-0.34000000000000075,-0.8100000000000005,113.139999,-2.4234567250570893,Non-Extreme,121.58740631955844,-8.447407319558437
2023-10-04,2023-10-04,-0.3199999999999994,-0.8799999999999999,114.190002,0.9280563985156158,Non-Extreme,121.99970098403149,-7.809698984031485
2023-10-05,2023-10-05,-0.3100000000000005,-0.8900000000000006,115.07,0.7706436505710773,Non-Extreme,122.05860022181335,-6.988600221813357
2023-10-06,2023-10-06,-0.2999999999999998,-0.8499999999999996,114.900002,-0.1477344225254128,Non-Extreme,121.82300327068589,-6.923001270685887
2023-10-10,2023-10-10,-0.2999999999999998,-0.9500000000000002,115.510002,0.530896422438704,Non-Extreme,122.41199564850454,-6.901993648504543
2023-10-11,2023-10-11,-0.41000000000000014,-1.0300000000000002,116.379997,0.75317720105312,Non-Extreme,122.88318955075948,-6.503192550759479
2023-10-12,2023-10-12,-0.35999999999999943,-0.9299999999999997,115.550003,-0.7131758217866246,Non-Extreme,122.29419717294083,-6.744194172940823
2023-10-13,2023-10-13,-0.41000000000000014,-0.9900000000000002,114.540001,-0.87408219279752,Non-Extreme,122.64759259963202,-8.107591599632016
2023-10-16,2023-10-16,-0.3799999999999999,-0.9000000000000004,116.199997,1.4492718574360697,Non-Extreme,122.11749945959522,-5.917502459595227
2023-10-17,2023-10-17,-0.3600000000000003,-0.79,115.529999,-0.5765903763319311,Non-Extreme,121.46960784399471,-5.939608843994705
2023-10-18,2023-10-18,-0.28000000000000025,-0.7000000000000002,113.650002,-1.6272803741649844,Non-Extreme,120.93951470395791,-7.289512703957911
2023-10-19,2023-10-19,-0.15999999999999925,-0.6199999999999992,113.029999,-0.5455371659386306,Non-Extreme,120.46832080170299,-7.438321801702983
2023-10-20,2023-10-20,-0.14000000000000057,-0.6500000000000004,111.010002,-1.7871335201905147,Non-Extreme,120.64501851504858,-9.635016515048576
2023-10-23,2023-10-23,-0.1899999999999995,-0.7199999999999998,111.330002,0.2882623135165723,Non-Extreme,121.05731317952163,-9.727311179521635
2023-10-24,2023-10-24,-0.1899999999999995,-0.75,110.379997,-0.8533234374683568,Non-Extreme,121.23401089286725,-10.854013892867243
