,Date,spread_10_3,Adj Close,Lower,Adj Fitted,Upper
1,2023-05-05,-1.8199999999999998,129.740021,121.0891214652828,127.3722252492559,133.655329033229
2,2023-05-08,-1.7899999999999996,130.007263,120.84213628639247,127.12524007036558,133.40834385433868
3,2023-05-09,-1.7600000000000002,128.106873,120.59515110750215,126.87825489147525,133.16135867544835
4,2023-05-10,-1.81,127.641701,121.00679307231938,127.28989685629249,133.5730006402656
5,2023-05-11,-1.81,128.512695,121.00679307231938,127.28989685629249,133.5730006402656
6,2023-05-12,-1.79,128.56218,120.84213628639247,127.12524007036558,133.40834385433868
7,2023-05-15,-1.71,129.58165,120.18350914268491,126.46661292665802,132.74971671063113
8,2023-05-16,-1.6900000000000004,126.988441,120.01885235675805,126.30195614073115,132.58505992470427
9,2023-05-17,-1.69,127.305161,120.01885235675805,126.30195614073115,132.58505992470427
10,2023-05-18,-1.6599999999999997,126.592529,119.7718671778677,126.05497096184081,132.3380747458139
11,2023-05-19,-1.5899999999999999,125.889786,119.19556842712358,125.47867221109668,131.7617759950698
12,2023-05-23,-1.6399999999999997,124.593178,119.60721039194081,125.89031417591391,132.17341795988702
13,2023-05-24,-1.6400000000000001,122.484955,119.60721039194081,125.89031417591391,132.17341795988702
14,2023-05-25,-1.5499999999999998,120.238159,118.8662548552698,125.1493586392429,131.432462423216
15,2023-05-26,-1.54,121.8218,118.78392646230637,125.06703024627947,131.35013403025258
16,2023-05-30,-1.8599999999999999,121.851494,121.41843503713658,127.70153882110968,133.9846426050828
17,2023-05-31,-1.8799999999999994,120.188667,121.58309182306348,127.86619560703659,134.1492993910097
18,2023-06-01,-1.8900000000000001,120.347031,121.66542021602696,127.94852400000006,134.23162778397318
19,2023-06-02,-1.81,122.791779,121.0067930723194,127.2898968562925,133.5730006402656
20,2023-06-05,-1.77,121.663437,120.67747950046561,126.96058328443871,133.24368706841182
21,2023-06-06,-1.7400000000000002,122.445358,120.43049432157531,126.71359810554841,132.99670188952152
22,2023-06-07,-1.63,121.831696,119.52488199897742,125.80798578295052,132.09108956692364
23,2023-06-08,-1.65,122.039558,119.68953878490427,125.97264256887738,132.25574635285048
24,2023-06-09,-1.62,122.62352,119.44255360601395,125.72565738998705,132.00876117396015
25,2023-06-12,-1.6700000000000004,122.702705,119.85419557083118,126.13729935480428,132.4204031387774
26,2023-06-13,-1.5200000000000005,123.544014,118.61926967637952,124.90237346035262,131.18547724432574
27,2023-06-14,-1.5300000000000002,123.900337,118.70159806934294,124.98470185331604,131.26780563728914
28,2023-06-15,-1.6099999999999999,124.543694,119.3602252130505,125.6433289970236,131.92643278099672
29,2023-06-16,-1.5699999999999998,124.593178,119.03091164119674,125.31401542516984,131.59711920914296
30,2023-06-20,-1.6499999999999995,123.484627,119.68953878490427,125.97264256887738,132.25574635285048
31,2023-06-21,-1.6800000000000002,123.31636,119.93652396379463,126.21962774776773,132.50273153174084
32,2023-06-22,-1.6000000000000005,122.346382,119.27789682008707,125.56100060406017,131.8441043880333
33,2023-06-23,-1.67,121.069572,119.85419557083118,126.13729935480428,132.4204031387774
34,2023-06-26,-1.7799999999999998,122.356285,120.75980789342907,127.04291167740217,133.32601546137528
35,2023-06-27,-1.6700000000000004,123.949829,119.85419557083117,126.13729935480427,132.42040313877737
36,2023-06-28,-1.7300000000000004,123.64299,120.34816592861182,126.63126971258492,132.91437349655803
37,2023-06-29,-1.6099999999999999,124.226959,119.3602252130505,125.6433289970236,131.92643278099672
38,2023-06-30,-1.6199999999999997,125.226631,119.44255360601393,125.72565738998703,132.00876117396015
39,2023-07-05,-1.4900000000000002,125.780914,118.37228449748916,124.65538828146227,130.93849206543538
40,2023-07-06,-1.4100000000000001,124.226959,117.7136573537816,123.9967611377547,130.2798649217278
41,2023-07-07,-1.4000000000000004,124.236855,117.63132896081815,123.91443274479126,130.19753652876437
42,2023-07-10,-1.4700000000000006,123.98941,118.2076277115623,124.4907314955354,130.77383527950852
43,2023-07-11,-1.5,124.553581,118.45461289045261,124.73771667442571,131.02082045839882
44,2023-07-12,-1.6099999999999999,124.791138,119.3602252130505,125.6433289970236,131.92643278099672
45,2023-07-13,-1.71,126.117432,120.18350914268494,126.46661292665804,132.74971671063116
46,2023-07-14,-1.6600000000000001,126.810272,119.77186717786773,126.05497096184084,132.33807474581394
47,2023-07-17,-1.6800000000000002,127.750572,119.93652396379464,126.21962774776775,132.50273153174086
48,2023-07-18,-1.6900000000000004,128.334534,120.01885235675807,126.30195614073118,132.5850599247043
49,2023-07-19,-1.7400000000000002,128.839325,120.4304943215753,126.7135981055484,132.99670188952152
50,2023-07-20,-1.6400000000000001,129.096664,119.60721039194084,125.89031417591394,132.17341795988705
51,2023-07-21,-1.6600000000000001,129.690536,119.77186717786773,126.05497096184084,132.33807474581394
52,2023-07-24,-1.65,130.710007,119.68953878490427,125.97264256887738,132.25574635285048
53,2023-07-25,-1.5999999999999996,130.009995,119.27789682008708,125.56100060406018,131.8441043880333
54,2023-07-26,-1.65,130.169998,119.68953878490429,125.97264256887739,132.2557463528505
55,2023-07-27,-1.5,130.160004,118.45461289045262,124.73771667442573,131.02082045839884
56,2023-07-28,-1.5599999999999996,130.309998,118.94858324823329,125.2316870322064,131.5147908161795
57,2023-07-31,-1.5799999999999996,130.729996,119.1132400341602,125.3963438181333,131.67944760210642
58,2023-08-01,-1.4900000000000002,129.669998,118.37228449748919,124.6553882814623,130.9384920654354
59,2023-08-02,-1.4500000000000002,128.490005,118.04297092563543,124.32607470960853,130.60917849358165
60,2023-08-03,-1.3399999999999999,127.699997,117.13735860303754,123.42046238701064,129.70356617098375
61,2023-08-04,-1.4900000000000002,128.25,118.3722844974892,124.65538828146231,130.9384920654354
62,2023-08-08,-1.5500000000000007,127.480003,118.86625485526987,125.14935863924298,131.4324624232161
63,2023-08-09,-1.5499999999999998,127.480003,118.86625485526987,125.14935863924298,131.4324624232161
64,2023-08-10,-1.4500000000000002,127.699997,118.04297092563544,124.32607470960855,130.60917849358165
65,2023-08-11,-1.38,127.57,117.46667217489131,123.74977595886442,130.03287974283754
66,2023-08-14,-1.3699999999999992,126.870003,117.38434378192788,123.66744756590099,129.9505513498741
67,2023-08-15,-1.3499999999999996,124.040001,117.21968699600099,123.50279077997409,129.7858945639472
68,2023-08-16,-1.2799999999999994,123.419998,116.64338824525689,122.92649202922999,129.2095958132031
69,2023-08-17,-1.2599999999999998,122.489998,116.47873145932998,122.76183524330308,129.0449390272762
70,2023-08-18,-1.29,121.470001,116.72571663822032,123.00882042219342,129.29192420616653
71,2023-08-21,-1.2300000000000004,121.239998,116.23174628043965,122.51485006441276,128.79795384838587
72,2023-08-22,-1.2300000000000004,119.709999,116.23174628043965,122.51485006441276,128.79795384838587
73,2023-08-23,-1.38,120.260002,117.46667217489131,123.74977595886442,130.03287974283754
74,2023-08-24,-1.3499999999999996,122.620003,117.21968699600099,123.50279077997409,129.7858945639472
75,2023-08-25,-1.3600000000000003,121.019997,117.30201538896445,123.58511917293755,129.86822295691067
76,2023-08-28,-1.38,122.019997,117.46667217489131,123.74977595886442,130.03287974283754
77,2023-08-29,-1.4399999999999995,122.660004,117.96064253267198,124.24374631664509,130.5268501006182
78,2023-08-30,-1.4399999999999995,122.980003,117.96064253267198,124.24374631664509,130.5268501006182
79,2023-08-31,-1.4699999999999998,121.739998,118.20762771156231,124.49073149553541,130.77383527950852
80,2023-09-01,-1.3500000000000005,122.849998,117.219686996001,123.5027907799741,129.7858945639472
81,2023-09-05,-1.2800000000000002,122.019997,116.64338824525687,122.92649202922998,129.2095958132031
82,2023-09-06,-1.25,121.239998,116.39640306636655,122.67950685033965,128.96261063431277
83,2023-09-07,-1.2600000000000007,120.300003,116.47873145933002,122.76183524330312,129.04493902727623
84,2023-09-08,-1.29,120.099998,116.72571663822033,123.00882042219344,129.29192420616656
85,2023-09-11,-1.2599999999999998,120.400002,116.47873145933,122.76183524330311,129.04493902727623
86,2023-09-12,-1.29,121.220001,116.72571663822035,123.00882042219345,129.29192420616656
87,2023-09-13,-1.2999999999999998,121.959999,116.8080450311838,123.0911488151569,129.37425259913002
88,2023-09-14,-1.2599999999999998,123.459999,116.47873145932999,122.7618352433031,129.0449390272762
89,2023-09-15,-1.2299999999999995,124.120003,116.23174628043965,122.51485006441276,128.79795384838587
90,2023-09-18,-1.2299999999999995,123.349998,116.23174628043965,122.51485006441276,128.79795384838587
91,2023-09-19,-1.17,122.360001,115.73777592265898,122.02087970663209,128.3039834906052
92,2023-09-20,-1.21,122.769997,116.06708949451279,122.35019327848589,128.633297062459
93,2023-09-21,-1.08,120.839996,114.99682038598802,121.27992416996112,127.56302795393422
94,2023-09-22,-1.1199999999999992,120.190002,115.32613395784176,121.60923774181487,127.89234152578797
95,2023-09-25,-1.0300000000000002,120.419998,114.58517842117078,120.86828220514388,127.15138598911699
96,2023-09-26,-1.0200000000000005,118.860001,114.50285002820735,120.78595381218045,127.06905759615356
97,2023-09-27,-0.9699999999999998,117.300003,114.09120806339011,120.37431184736322,126.65741563133632
98,2023-09-28,-0.9699999999999998,118.760002,114.09120806339011,120.37431184736322,126.65741563133632
99,2023-09-29,-0.96,118.699997,114.00887967042667,120.29198345439977,126.57508723837287
100,2023-10-02,-0.9299999999999997,115.949997,113.76189449153632,120.04499827550943,126.32810205948253
101,2023-10-03,-0.8100000000000005,113.139999,112.77395377597502,119.05705755994812,125.34016134392122
102,2023-10-04,-0.8799999999999999,114.190002,113.35025252671912,119.63335631069222,125.91646009466533
103,2023-10-05,-0.8900000000000006,115.07,113.43258091968255,119.71568470365565,125.99878848762876
104,2023-10-06,-0.8499999999999996,114.900002,113.10326734782878,119.38637113180188,125.66947491577498
105,2023-10-10,-0.9500000000000002,115.510002,113.92655127746323,120.20965506143634,126.49275884540944
106,2023-10-11,-1.0300000000000002,116.379997,114.58517842117078,120.86828220514388,127.15138598911699
107,2023-10-12,-0.9299999999999997,115.550003,113.76189449153632,120.04499827550943,126.32810205948253
108,2023-10-13,-0.9900000000000002,114.540001,114.255864849317,120.53896863329011,126.82207241726321
109,2023-10-16,-0.9000000000000004,116.199997,113.514909312646,119.7980130966191,126.0811168805922
110,2023-10-17,-0.79,115.529999,112.60929699004811,118.89240077402121,125.17550455799432
111,2023-10-18,-0.7000000000000002,113.650002,111.86834145337711,118.15144523735022,124.43454902132332
112,2023-10-19,-0.6199999999999992,113.029999,111.20971430966955,117.49281809364265,123.77592187761576
113,2023-10-20,-0.6500000000000004,111.010002,111.45669948855989,117.739803272533,124.0229070565061
114,2023-10-23,-0.7199999999999998,111.330002,112.03299823930399,118.3161020232771,124.5992058072502
115,2023-10-24,-0.75,110.379997,112.27998341819432,118.56308720216742,124.84619098614053
